kode_konsep,konsep,definisi
K00101,Ancaman Kekerasan,"Suatu usaha/tindakan yang dilakukan oleh seseorang/kelompok terhadap orang/pihak lain yang disampaikan baik secara lisan, tulisan, maupun perbuatan yang dapat menimbulkan rasa ketakutan/keresahan/kekhawatiran."
K00102,Anemia,Kekurangan kadar hemoglobin di dalam darah.
K00103,Anggaran,Rencana untuk menunjukkan berapa banyak uang yang akan diperoleh seseorang atau organisasi dan berapa banyak yang akan mereka butuhkan atau dapat belanjakan.
K00106,Anggota Keluarga,Semua orang yang nama dan identitasnya tercantum dalam kartu keluarga.
K00107,Anggota Koperasi,Pemilik sekaligus pengguna jasa koperasi yang dicatat dalam buku daftar anggota.
K00109,Anggota Perpustakaan,Pemustaka atau pengguna perpustakaan yang mendaftarkan diri sebagai anggota layanan perpustakaan dan memeroleh Kartu Tanda Anggota Perpustakaan.
K00110,Anggota Rumah Tangga,"Semua orang yang biasanya bertempat tinggal di suatu rumah tangga dan berada dalam satu pengelolaan makan sehari-hari, walaupun sementara sedang tidak berada di tempat dalam jangka waktu kurang dari satu tahun."
K00117,Angkatan Kerja,"Penduduk usia kerja (15 tahun ke atas) yang bekerja atau punya pekerjaan namun sementara tidak bekerja, dan penggangguran."
K00123,Angkutan Laut,"Angkutan kapal untuk penumpang, barang, atau hewan dalam satu atau lebih perjalanan antarpelabuhan."
K00134,Angkutan Udara,"Setiap kegiatan dengan menggunakan pesawat udara untuk mengangkut penumpang, kargo, dan/atau pos untuk satu perjalanan atau lebih dari satu bandar udara ke bandar udara yang lain atau beberapa bandar udara."
K00144,Anjungan Tunai Mandiri/Automated Teller Machine (ATM),"Perangkat berupa mesin elektronik yang terhubung dengan pusat komputer layanan nasabah pada suatu lembaga penyimpan dana sehingga dapat menggantikan sebagian fungsi kasir, misalnya transaksi menggunakan suatu media, baik berupa kartu maupun media lainnya, sebagai suatu identitas pengenal di dalam sistem."
K00147,Aparatur Sipil Negara (ASN),"Alat kelengkapan negara, terutama meliputi bidang kelembagaan, ketatalaksanaan, dan kepegawaian, yang mempunyai tanggung jawab melaksanakan roda pemerintahan sehari-hari."
K00151,Apotek,"Suatu sarana pelayanan kefarmasian yang digunakan untuk penyaluran/penjualan obat/bahan farmasi, baik pembelian obat secara bebas maupun dengan resep dokter, dan memiliki apoteker selaku penanggung jawabnya."
K00152,Apoteker,Ahli dalam ilmu obat-obatan dan memiliki kewenangan membuat obat untuk dijual.
K02341,Arsip,"Rekaman kegiatan atau peristiwa dalam berbagai bentuk dan media sesuai dengan perkembangan teknologi informasi dan komunikasi yang dibuat dan diterima oleh lembaga negara, pemerintahan daerah, lembaga pendidikan, perusahaan, organisasi politik, organisasi kemasyarakatan, dan perseorangan dalam pelaksanaan kehidupan bermasyarakat, berbangsa, dan bernegara."
K00159,Aset,"Semua kekayaan yang dipunyai oleh individu ataupun kelompok, baik berwujud maupun tidak berwujud, yang memiliki nilai akan manfaat bagi setiap orang atau perusahaan."
K00165,Asuransi,"Perjanjian antara dua pihak, yaitu pemegang polis dan perusahaan, dengan kesepakatan berupa pihak yang satu berkewajiban membayar iuran dan pihak yang lain berkewajiban memberikan jaminan sepeuhnya kepada pembayar iuran apabila terjadi sesuatu yang menimpa pihak pertama atau barang miliknya sesuai dengan perjanjian yang dibuat."
K00171,Atap,"Penutup bagian atas suatu bangunan untuk melindungi dari terik matahari, hujan, dan sebagainya."
K00178,Badan Hukum,Bentuk pengesahan suatu perusahaan pada waktu pendirian yang dilakukan oleh instansi pemerintah yang berwenang/kementerian terkait yang diperkuat dengan akta.
K00179,Badan Publik,"Lembaga eksekutif, legislatif, yudikatif, dan badan lain yang fungsi dan tugas pokoknya berkaitan dengan penyelenggaraan negara, yang sebagian atau seluruh dananya bersumber dari anggaran pendapatan dan belanja negara dan/atau anggaran pendapatan dan belanja daerah, atau organisasi nonpemerintah sepanjang sebagian atau seluruh dananya bersumber dari anggaran pendapatan dan belanja negara dan/atau anggaran pendapatan dan belanja daerah, sumbangan masyarakat, dan/atau luar negeri."
K00180,Badan Usaha,"Sekumpulan orang dan/atau modal yang merupakan kesatuan, baik berbentuk badan hukum atau tidak berbentuk badan hukum, tidak termasuk usaha perseorangan, yang melakukan usaha dan/atau kegiatan pada bidang tertentu."
K02342,Badan Usaha Milik Desa (BUM Desa),"Badan hukum yang didirikan oleh desa dan/atau bersama desa-desa guna mengelola usaha, memanfaatkan akses, mengembangkan investasi dan produktivitas, menyediakan jasa pelayanan, dan/atau menyediakan jenis usaha lainnya untuk sebesar-besarnya kesejahteraan masyarakat desa."
K02343,Badan Usaha Milik Negara (BUMN),Badan usaha yang seluruh atau sebagian besar modalnya dimiliki oleh negara melalui penyertaan secara langsung yang berasal dari kekayaan negara yang dipisahkan.
K00186,Bahan Bakar,"Bahan atau barang yang dipakai untuk menimbulkan api (panas), seperti gas bumi dan/atau hasil olahannya, batu bara, dan minyak tanah yang belum diolah."
K00190,Bahan Baku,"Barang mentah, barang setengah jadi, atau barang jadi yang dapat diolah menjadi barang setengah jadi atau barang jadi yang mempunyai nilai ekonomi yang lebih tinggi."
K00194,Bahan Berbahaya dan Beracun (B3),"Zat, energi dan/atau komponen lain karena sifat, konsentrasi, dan/atau jumlahnya, baik secara langsung maupun tidak langsung, dapat mencemarkan dan/atau merusak lingkungan hidup, dan/atau membahayakan lingkungan hidup, kesehatan, serta kelangsungan hidup manusia dan mahluk lain."
K02344,Bahan Galian,"Berbagai macam unsur kimia, mineral, bijih, dan batuan termasuk batu mulia yang merupakan endapan alam."
K00195,Bahan Penolong,Bahan yang digunakan sebagai pelengkap dalam proses produksi untuk menghasilkan produk yang fungsinya sesuai dengan parameter yang diharapkan.
K00198,Bahan Perpustakaan,"Semua hasil karya tulis, karya cetak, dan/atau karya rekam."
K00199,Bahan Perusak Ozon (BPO),Hasil buangan yang dikeluarkan oleh alat yang menggunakan refrigerant identifier Hydroflurochlorofluorocarbon (HCFC) yang belum sesuai atau tidak ramah lingkungan.
K00200,Bahan/Material Konstruksi,"Seluruh barang yang dipakai atau diperlukan untuk pekerjaan konstruksi, baik yang disediakan perusahaan maupun yang disediakan pemilik pekerjaan."
K00201,Bahasa,"Sistem lambang bunyi yang arbitrer yang digunakan oleh anggota suatu masyarakat untuk bekerja sama, berinteraksi, dan mengidentifikasikan diri."
K02345,Bakau/Mangrove,Vegetasi pantai yang memiliki morfologi khas dengan sistem perakaran yang mampu beradaptasi pada daerah pasang surut dengan substrat lumpur atau lumpur berpasir.
K00204,Balas Jasa dan Upah Pekerja,"Seluruh pengeluaran yang dibayarkan kepada pekerja tetap dan pekerja harian berupa upah gaji, upah lembur, hadiah, bonus, dana pensiun, tunjangan kecelakaan, dan pengeluaran lainnya yang dibayarkan dalam bentuk uang maupun barang sebagai balas jasa dan upah."
K00206,Balita,Anak berusia 0-4 tahun (0-59 bulan).
K00212,Bandar Udara (Bandara),"Kawasan di daratan dan/atau perairan dengan batas-batas tertentu yang digunakan sebagai tempat pesawat udara mendarat dan lepas landas, naik turun penumpang, bongkar muat barang, dan tempat perpindahan intra dan antarmoda transportasi, yang dilengkapi dengan fasilitas keselamatan dan keamanan penerbangan, serta fasilitas pokok dan fasilitas penunjang lainnya."
K00213,Bangunan,"Sesuatu yang didirikan; sesuatu yang dibangun (seperti rumah, gedung, menara)."
K02346,Bangunan Gedung,"Wujud fisik hasil pekerjaan konstruksi yang menyatu dengan tempat kedudukannya, sebagian atau seluruhnya berada di atas dan/atau di dalam tanah dan/atau air, yang berfungsi sebagai tempat manusia melakukan kegiatannya, baik untuk hunian atau tempat tinggal, kegiatan keagamaan, kegiatan usaha, kegiatan sosial, budaya, maupun kegiatan khusus."
K00215,Bangunan Tempat Tinggal,"Keseluruhan bangunan atau bagian dari bangunan yang digunakan seluruhnya atau utamanya untuk tempat menetap, termasuk bangunan yang terhubung dengan bangunan utama seperti garasi dan seluruh perlengkapan permanen yang biasanya dipasang pada bangunan tempat tinggal."
K00713,Bank,"Badan usaha di bidang keuangan yang menarik dan mengeluarkan uang dalam masyarakat, terutama memberikan kredit dan jasa dalam lalu lintas pembayaran dan peredaran uang."
K00220,Bantuan Hukum,Jasa hukum yang diberikan secara cuma-cuma kepada orang miskin yang menghadapi masalah hukum.
K00229,Barang Rampasan (Baran),Benda sitaan berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetap yang dirampas oleh negara.
K00230,Barang Sitaan (Basan),Benda yang disita oleh negara untuk keperluan proses peradilan.
K00232,Bayi,Anak berusia/berumur kurang dari satu tahun.
K00233,Bayi dengan Berat Badan Lahir Rendah (BBLR),Bayi dengan berat badan lahir kurang dari 2.500 gram.
K00234,Beasiswa,Tunjangan yang diberikan kepada peserta didik sebagai bantuan biaya belajar.
K00237,Bekerja,"Kegiatan melakukan pekerjaan dengan maksud memperoleh atau membantu memperoleh penghasilan atau keuntungan paling sedikit selama satu jam dalam seminggu terakhir, tidak termasuk orang yang melakukan pekerjaan tetapi tidak bermaksud memperoleh atau membantu memperoleh penghasilan atau keuntungan."
K00240,Belajar,Usaha yang dilakukan untuk memperoleh kepandaian atau ilmu.
K00255,Bencana,"Peristiwa atau rangkaian peristiwa yang mengancam dan mengganggu kehidupan masyarakat yang disebabkan oleh faktor alam, faktor nonalam, dan/atau faktor manusia sehingga mengakibatkan timbulnya korban manusia, kerusakan lingkungan, kerugian harta benda, dan dampak psikologis."
K00259,Bendung,"Bangunan air dengan kelengkapannya yang dibangun melintang sungai atau sudetan yang sengaja dibuat untuk meninggikan taraf muka air atau untuk mendapatkan tinggi terjun, sehingga air sungai dapat disadap dan dialirkan secara gravitasi atau dengan pompa ke tempat-tempat tertentu yang membutuhkannya dan/atau untuk mengendalikan dasar sungai, debit, dan angkutan sedimen."
K00260,Bendungan,"Bangunan yang berupa urukan tanah, urukan batu, beton, dan/atau pasangan batu yang dibangun selain untuk menahan dan menampung air, dapat pula dibangun untuk menahan dan menampung limbah tambang (tailing), atau menampung lumpur sehingga terbentuk waduk."
K00263,Benih Tanaman,Tanaman atau bagiannya yang digunakan untuk memperbanyak dan/atau mengembangbiakkan tanaman.
K00279,Biaya,"Uang yang dikeluarkan untuk mengadakan (mendirikan, melakukan, dan sebagainya) sesuatu; ongkos; belanja; pengeluaran."
K00287,Bidan,Wanita yang mempunyai kepandaian menolong dan merawat orang melahirkan dan bayinya.
K00289,Bidang Tanah,Bagian permukaan bumi yang merupakan satuan bidang yang berbatas.
K02347,Buang Air Besar,Proses makhluk hidup membuang kotoran atau tinja padat atau setengah-padat yang berasal dari sistem pencernaan.
K00296,Bubur Kayu,"Serat kayu atau bahan berlignoselulosa lainnya hasil pengolahan secara mekanis, semi kimia, dan kimia."
K01190,Bus,"Kendaraan bermotor angkutan umum yang besar, beroda empat atau lebih, dan dapat memuat banyak penumpang."
K00305,Cadangan Pangan Pemerintah,"Persediaan bahan pangan pokok yang dikuasai dan dikelola oleh pemerintah dan masyarakat yang dapat disalurkan untuk keperluan konsumsi maupun dalam rangka stabilisasi harga pangan, penanganan masalah pangan/krisis pangan, pemberian bantuan pangan, kerja sama internasional, dan/atau keperluan lain yang ditetapkan pemerintah."
K00308,Calo,Orang yang menjadi perantara dan memberikan jasanya untuk menguruskan sesuatu berdasarkan upah; perantara; makelar.
K00314,Cekungan Lintas Batas,"Cekungan air permukaan (sungai, danau) dan air tanah yang terletak pada perbatasan atau lintas batas negara."
K00316,Civitas Academica,Kelompok masyarakat akademik yang terdiri atas dosen dan mahasiswa dengan perwakilannya yang terbentuk melalui senat masing-masing.
K00322,Daerah Aliran Sungai (DAS),"Suatu wilayah daratan yang merupakan satu kesatuan dengan sungai dan anak-anak sungainya yang berfungsi menampung, menyimpan, dan mengalirkan air yang berasal dari curah hujan ke danau atau ke laut secara alami."
K00335,Daerah Tertinggal,"Daerah yang wilayah serta masyarakatnya kurang berkembang dibandingkan dengan daerah lain dalam skala nasional berdasarkan kriteria perekonomian masyarakat, sumber daya manusia, sarana dan prasarana, kemampuan keuangan daerah, aksesibilitas, dan karakteristik daerah."
K00337,Daftar Merah/Red List,"Standar daftar spesies, dan upaya penilaian konservasinya yang bertujuan memberi informasi, dan analisis mengenai status, tren, dan ancaman terhadap spesies untuk memberitahukan, dan mempercepat tindakan dalam upaya konservasi keanekaragaman hayati."
K00338,Daging (Meatyield),"Daging murni ditambah dengan bagian yang dapat dimakan (edible portion), seperti jeroan (edible offal) dan daging variasi (fancy meat)."
K00349,Dana Perimbangan,Dana yang bersumber dari pendapatan APBN yang dialokasikan kepada daerah untuk mendanai kebutuhan daerah dalam rangka pelaksanaan desentralisasi.
K00351,Danau,"Wadah air dan ekosistem yang ada yang terbentuk secara alamiah dapat berupa bagian dari sungai yang lebar dan kedalamnya jauh melebihi ruas-ruas lain dari sungai yang bersangkutan, termasuk situ, embung dan wadah air sejenis dengan istilah sebutan lokal (telaga, ranu)."
K00363,Daur Ulang,Proses pengolahan sampah menghasilkan produk baru.
K00366,Daya Saing,Kemampuan suatu entitas untuk dapat tumbuh (berkembang) secara normal di antara entitas lain sebagai pesaing dalam satu habitat.
K00368,Degradasi Lahan,"Pengurangan atau hilangnya produktivitas biologis dan ekonomi dan kompleksitas lahan pertanian tadah hujan, lahan pertanian irigasi, atau jangkauan padang rumput, hutan dan lahan hutan yang dihasilkan dari kombinasi tekanan, termasuk penggunaan lahan dan praktik pengelolaan."
K00369,Demam Berdarah Dengue (DBD),"Penyakit menular yang disebabkan oleh virus dengue dan ditularkan oleh nyamuk Aedes aegypti, yang ditandai demam mendadak 2-7 hari, lemah/lesu, gelisah, nyeri ulu hati disertai tanda pendarahan di kulit berupa bintik perdarahan, lebam, kadang-kadang disertai dengan mimisan, berak darah, muntah darah dan kesadaran menurun."
K00370,Demokrasi,Bentuk atau sistem pemerintahan yang seluruh rakyatnya turut serta memerintah dengan perantaraan wakilnya; pemerintahan rakyat.
K02348,Depot Arsip,"Gedung dan ruang penyimpanan arsip yang dirancang dengan struktur khusus guna memenuhi kebutuhan terhadap pelindungan arsip, serta mengutamakan tugas pemeliharaan dan perawatan arsip."
K00371,Desa,"Kesatuan masyarakat hukum yang memiliki batas wilayah yang berwenang untuk mengatur dan mengurus urusan pemerintahan dan kepentingan masyarakat setempat berdasarkan prakarsa masyarakat, hak asal usul, dan/atau hak tradisional yang diakui dan dihormati dalam sistem pemerintahan Negara Kesatuan Republik Indonesia."
K00373,Desa Mandiri,"Desa yang mempunyai ketersediaan dan akses terhadap pelayanan dasar yang mencukupi, infrastruktur yang memadai, aksesibilitas transportasi yang tidak sulit, pelayanan umum yang bagus, serta penyelenggaraan pemerintahan yang sudah sangat baik."
K00379,Devisa,Aset dan kewajiban finansial yang digunakan dalam transaksi internasional.
K02349,Dialek,"Variasi bahasa yang berbeda-beda menurut pemakai (misalnya bahasa dari suatu daerah tertentu, kelompok sosial tertentu, atau kurun waktu tertentu)."
K00385,Dinding,Sisi luar/batas dari suatu bagunan atau penyekat dengan bangunan fisik lain.
K00388,Disabilitas,"Keterbatasan fisik, intelektual, mental, dan/atau sensorik dalam jangka waktu lama sehingga mengalami hambatan dan kesulitan dalam berinteraksi dengan lingkungan, dan menyebabkan keterbatasan dalam melaksanakan tugas atau kegiatan sehari-hari, seperti kesulitan melihat, kesulitan mendengar, berbicara tidak lancar, kesulitan memahami/hilang ingatan/gangguan jiwa, lambat dalam belajar/memahami pelajaran, keterbatasan berjalan, keterbatasan bergerak, kesulitan mengambil barang kecil menggunakan jari."
K00389,Diskriminasi,"Setiap pembatasan, pelecehan, atau pengucilan yang langsung ataupun tak langsung didasarkan pada pembedaan manusia atas dasar agama, suku, ras, etnik, kelompok, golongan, status sosial, status ekonomi, jenis kelamin, bahasa, dan/atau keyakinan politik yang berakibat pengurangan, penyimpangan, atau penghapusan pengakuan, pelaksanaan atau penggunaan hak asasi manusia dan kebebasan dasar dalam kehidupan baik individual maupun kolektif dalam bidang politik, ekonomi, hukum, sosial, budaya, dan aspek kehidupan lainnya."
K00391,Distribusi,"Penyaluran (pembagian, pengiriman) kepada beberapa orang atau ke beberapa tempat."
K00397,Dokter,Lulusan pendidikan kedokteran yang ahli dalam hal penyakit dan pengobatan.
K02350,Dokter Hewan,Orang yang memiliki profesi dan kewenangan sebagai medik veteriner dalam melaksanakan pelayanan kesehatan hewan.
K00401,Dokumen Hukum,"Produk hukum yang berupa peraturan perundang-undangan atau produk hukum selain peraturan perundang-undangan yang meliputi namun tidak terbatas pada putusan pengadilan, yurisprudensi, monografi hukum, artikel majalah hukum, buku hukum, penelitian hukum, pengkajian hukum, naskah akademis, dan rancangan peraturan perundang-undangan."
K00417,Ekonomi Kreatif,"Perwujudan nilai tambah dari kekayaan intelektual yang bersumber dari kreativitas manusia yang berbasis warisan budaya, ilmu pengetahuan, dan/atau teknologi."
K00418,Ekosistem,Keadaan khusus tempat komunitas suatu organisme hidup dan komponen organisme tidak hidup dari suatu lingkungan yang saling berinteraksi.
K02351,Ekosistem Gambut,"Tatanan unsur gambut yang merupakan satu kesatuan utuh menyeluruh dan saling memengaruhi keseimbangan, stabilitas, dan produktivitasnya."
K00420,Ekspor,"Kegiatan membawa keluar barang dari wilayah suatu negara, baik bersifat komersial maupun bukan komersial (barang hibah, sumbangan, hadiah), serta barang yang akan diolah di luar negeri dan hasilnya dimasukkan kembali ke negara tersebut secara legal."
K00426,Ekstrakurikuler,"Kegiatan di luar program yang tertulis di dalam kurikulum, seperti latihan kepemimpinan dan pembinaan siswa."
K00427,Elektrifikasi,Pemakaian atau penggantian dengan listrik (sebelumnya tidak menggunakan listrik).
K00428,Eliminasi Penyakit,Upaya pengurangan terhadap penyakit secara berkesinambungan di wilayah tertentu sehingga angka kesakitan penyakit tersebut dapat ditekan serendah mungkin agar tidak menjadi masalah kesehatan di wilayah yang bersangkutan.
K00433,Embung,Waduk berukuran mikro di lahan pertanian yang dibangun untuk menampung kelebihan air hujan di musim hujan untuk digunakan pada saat musim kemarau.
K00434,Emisi Gas Rumah Kaca,Lepasnya gas rumah kaca (GRK) ke atmosfer pada suatu area dalam jangka waktu tertentu.
K00435,Energi,"Tenaga yang digunakan untuk melakukan kerja yang dapat berupa panas, cahaya, mekanika, kimia, dan elektromagnetika."
K00436,Energi Final,Energi yang langsung dapat dikonsumsi oleh pengguna akhir.
K00437,Energi Primer,Energi yang diberikan oleh alam dan belum mengalami proses pengolahan lebih lanjut.
K00438,Energi Terbarukan,"Energi yang berasal dari sumber energi terbarukan antara lain berasal dari panas bumi, angin, bioenergi, sinar matahari, aliran dan terjunan air, serta gerakan dan perbedaan suhu lapisan laut."
K00443,Fasilitas Pelayanan Kesehatan,"Suatu alat dan/atau tempat yang digunakan untuk menyelenggarakan upaya pelayanan kesehatan, baik promotif, preventif, kuratif, maupun rehabilitatif, yang dilakukan oleh pemerintah pusat, pemerintah daerah, dan/atau masyarakat."
K00452,Fasilitas Sosial,"Fasilitas yang disediakan oleh pemerintah atau swasta untuk masyarakat, seperti puskesmas, rumah sakit, kantor pemerintah, dan sekolah."
K02352,Fertilitas,Kemampuan untuk menghasilkan keturunan.
K02353,Fidusia,Pengalihan hak kepemilikan sebuah benda yang registrasi hak kepemilikannya masih berada dalam kekuasaan pemilik benda tersebut.
K00468,Garam,"Senyawa kimia yang komponen utamanya berupa natrium klorida dan dapat mengandung unsur lain seperti magnesium, kalsium, besi, dan kalium dengan bahan tambahan atau tanpa bahan tambahan iodium."
K00471,Gas Petroleum Cair/Liquefied Petroleum Gas (LPG),"Gas hidrokarbon yang dicairkan dengan tekanan untuk memudahkan pengangkutan, dan penyimpanan, penanganannya yang pada dasarnya terdiri atas propana, butana, atau campuran keduanya."
K00470,Gas Rumah Kaca,"Gas yang terkandung dalam atmosfer, baik alami maupun antropogenik, yang menyerap dan memancarkan kembali radiasi inframerah."
K02354,Generasi,"Sekelompok orang yang lahir dalam rentang waktu yang sama, dan biasanya memiliki pengalaman sejarah yang sama."
K00480,Gratifikasi,"Pemberian dalam arti luas meliputi uang, barang, rabat (diskon), komisi, pinjaman tanpa bunga, tiket perjalanan, fasilitas penginapan, perjalanan wisata, pengobatan cuma-cuma, dan fasilitas lainnya, baik yang diterima di dalam negeri maupun di luar negeri, baik yang dilakukan dengan menggunakan sarana elektronik maupun tanpa sarana elektronik."
K00481,Guru,"Pendidik profesional dengan tugas utama mendidik, mengajar, membimbing, mengarahkan, melatih, menilai, dan mengevaluasi peserta didik pada pendidikan anak usia dini jalur pendidikan formal, pendidikan dasar, dan pendidikan menengah."
K00485,Hak Asasi Manusia (HAM),"Seperangkat hak yang melekat pada hakikat dan keberadaan manusia sebagai makhluk Tuhan yang Maha Esa dan merupakan anugerah-Nya yang wajib dihormati, dijunjung tinggi, dan dilindungi oleh negara, hukum, pemerintah, dan setiap orang demi kehormatan serta perlindungan harkat dan martabat manusia."
K00497,Hak Atas Tanah,"Hak yang diperoleh dari hubungan hukum antara pemegang hak dengan tanah, termasuk ruang di atas tanah dan/atau ruang di bawah tanah untuk menguasai, memiliki, menggunakan, dan memanfaatkan, serta memelihara tanah, ruang di atas tanah, dan/atau ruang di bawah tanah."
K02355,Harga,"Nilai barang yang ditentukan atau dirupakan dengan uang; jumlah uang atau alat tukar lain yang senilai, yang harus dibayarkan untuk produk atau jasa pada waktu tertentu dan di pasar tertentu."
K00500,Harga Dasar,Harga keekonomian barang dan jasa di tingkat produsen sebelum adanya intervensi pemerintah terkait pajak dan subsidi.
K00501,Harga Konsumen/Harga Eceran,"Harga keekonomian barang dan jasa di tingkat konsumen setelah adanya intervensi pemerintah terkait pajak dan subsidi, serta margin transportasi dan perdagangan."
K00505,Harga Produsen,Harga keekonomian barang dan jasa di tingkat produsen setelah adanya intervensi pemerintah terkait pajak dan subsidi.
K02356,Hari Kerja,Satuan waktu yang digunakan pekerja untuk melakukan pekerjaannya.
K00515,Hepatitis,"Penyakit radang pada organ hati manusia yang dapat disebabkan oleh banyak faktor, salah satu yang terbanyak adalah infeksi virus."
K00521,Hipertensi,"Tekanan darah atau denyut jantung yang lebih tinggi daripada normal karena penyempitan pembuluh darah atau gangguan lain, yaitu tekanan darah sistolik lebih besar dari 140 mmHg dan/atau tekanan darah diastolik lebih besar dari 90 mmHg."
K00524,Hotel,"Usaha penyediaan akomodasi berupa kamar-kamar di dalam suatu bangunan yang dapat dilengkapi dengan jasa pelayanan makan dan minum, kegiatan hiburan, dan/atau fasilitas lainnya secara harian dengan tujuan memperoleh keuntungan."
K00533,Hutan,Suatu kesatuan ekosistem berupa hamparan lahan berisi sumber daya alam hayati yang didominasi pepohonan dalam persekutuan alam lingkungannya yang satu dengan lainnya tidak dapat dipisahkan.
K00384,Ijon,"Penjualan hasil atau produk pertanian sebelum masa panen, dengan pemeliharaan berikutnya sampai dengan pemanenan menjadi tanggung jawab pembeli."
K02357,Ilmu Pengetahuan,Gabungan berbagai pengetahuan yang disusun secara logis dan bersistem dengan memperhitungkan sebab dan akibat.
K00583,Imunisasi Dasar,"Upaya peningkatan kekebalan seseorang secara aktif yang diberikan kepada bayi berusia kurang dari satu tahun terhadap penyakit: 
a. hepatitis B; 
b. poliomyelitis; 
c. tuberkulosis; 
d. difteri; 
e. pertusis; 
f. tetanus; 
g. pneumonia dan meningitis yang disebabkan oleh Hemophilus influenza tipe b (Hib); dan 
h. campak."
K00595,Industri Manufaktur,"Suatu kegiatan ekonomi yang melakukan kegiatan mengubah suatu barang dasar secara mekanis, kimia, atau dengan tangan sehingga menjadi barang jadi/setengah jadi, dan/atau barang yang kurang nilainya menjadi barang yang lebih tinggi nilainya, dan sifatnya lebih dekat kepada pemakai akhir, termasuk jasa penunjang dan pekerjaan perakitan (assembling)."
K00599,Inflasi,Kenaikan harga barang dan jasa secara umum dan terus-menerus dalam jangka waktu tertentu.
K00600,Informasi,"Keterangan, pernyataan, gagasan, dan tanda-tanda yang mengandung nilai, makna, dan pesan, baik data, fakta maupun penjelasannya yang dapat dilihat, didengar, dan dibaca yang disajikan dalam berbagai kemasan dan format sesuai dengan perkembangan teknologi informasi dan komunikasi secara elektronik ataupun nonelektronik."
K00601,Informasi Publik,"Informasi yang dihasilkan, disimpan, dikelola, dikirim, dan/atau diterima oleh suatu badan publik yang berkaitan dengan penyelenggara dan penyelenggaraan negara dan/atau badan publik lainnya yang sesuai dengan undang-undang serta informasi lain yang berkaitan dengan kepentingan publik."
K00607,Inovasi,"Hasil pemikiran, penelitian, pengembangan, pengkajian, dan/atau penerapan, yang mengandung unsur kebaruan dan telah diterapkan serta memberikan manfaat, ekonomi, dan/atau sosial."
K02358,Insiden Siber,"Peristiwa pelanggaran terhadap kendali keamanan siber yang diterapkan baik pelanggaran terhadap kendali berupa kebijakan keamanan, pedoman/petunjuk, standar, maupun kendali teknis dan fisik."
K00610,Instalasi Pengolahan Air Baku,Struktur kanal atau pipa tertutup yang dipersiapkan untuk menyalurkan limbah yang telah memenuhi standar influent ke IPAL terpadu.
K00611,Instalasi Pengolahan Air Limbah (IPAL),"Struktur yang dirancang untuk pembuangan limbah biologis dan kimiawi dari air, sehingga memungkinkan air tersebut dapat digunakan pada aktivitas lain."
K00612,Instalasi Pengolahan Lumpur Tinja (IPLT),"Bangunan teknis beserta perlengkapannya yang digunakan untuk pengolahan air limbah, dan dirancang hanya menerima dan mengolah lumpur tinja yang berasal dari subsistem pengolahan setempat."
