id_standar,nama_data,konsep_kode,definisi,klasifikasi_penyajian,klasifikasi_isian,is_klasifikasi,ukuran,satuan
10220079,Status Bekerja,K00237 Bekerja|,"Kondisi seseorang yang melakukan pekerjaan dengan maksud memperoleh atau membantu memperoleh penghasilan atau keuntungan paling sedikit selama satu jam dalam seminggu terakhir, termasuk yang sementara tidak bekerja karena sedang sakit atau cuti.",,"1. Bekerja/Sementara Tidak Bekerja|
2. Tidak Bekerja|",1,,
10220082,Status Pekerja,K01306 Pekerja|,"Penggolongan pekerja berdasarkan kriteria tertentu dalam memperoleh penghasilan, seperti berdasarkan jumlah hari bekerja, jumlah unit yang dihasilkan dalam pekerjaan, atau penyelesaian suatu jenis pekerjaan yang diminta oleh pemberi kerja.",,"1. Pekerja tetap|
2. Pekerja tidak tetap|",1,,
10220080,Status Pekerjaan,K01320 Pekerjaan|,Kedudukan seseorang dalam melakukan pekerjaan.,,"1. Berusaha sendiri|
2. Berusaha dibantu buruh tidak tetap|
3. Berusaha dibantu buruh tetap/buruh dibayar|
4. Buruh/karyawan/pegawai|
5. Pekerja bebas|
6. Pekerja keluarga/tak dibayar|",1,,
10320001,Akreditasi Program Satuan Pendidikan,"K00035 Akreditasi|
K01971 Satuan Pendidikan|",Pengakuan terhadap program satuan pendidikan yang diberikan oleh badan yang berwenang berdasarkan syarat kebakuan atau kriteria tertentu.,,"1. Akreditasi A|
2. Akreditasi B|
3. Akreditasi C|
4. Tidak Terakreditasi|",1,,
10320007,Jalur Pendidikan,K02373 Pendidikan|,Wahana yang dilalui peserta didik untuk mengembangkan potensi diri dalam suatu proses pendidikan yang sesuai dengan tujuan pendidikan.,,"1. Formal|
2. Nonformal|
3. Informal|",1,,
10320009,Jenjang Pendidikan,K02373 Pendidikan|,"Tahap dalam pendidikan yang berkelanjutan yang ditetapkan berdasarkan tingkat perkembangan para peserta didik, keluasan bahan pengajaran, dan tujuan pendidikan yang dicantumkan dalam kurikulum.",,"1. Jenjang pendidikan dasar|
2. Jenjang pendidikan menengah|
3. Jenjang pendidikan tinggi|",1,,
10320075,Status Partisipasi Sekolah,K01289 Partisipasi Sekolah|,Partisipasi penduduk berusia 5 tahun ke atas dalam bersekolah.,,"1. Tidak/belum pernah sekolah|
2. Masih sekolah|
3. Tidak bersekolah lagi|",1,,
10320051,Status Satuan Pendidikan,K01971 Satuan Pendidikan|,Jenis pengelolaan satuan pendidikan.,,"1. Negeri|
2. Swasta|",1,,
10320055,Tingkat Pendidikan,K02373 Pendidikan|,Tingkat pendidikan yang dicapai seseorang setelah mengikuti pelajaran pada kelas tertinggi pada jenjang pendidikan tertinggi yang diikutinya dengan mendapatkan tanda tamat sekolah (ijazah).,,"0. Kurang dari pendidikan dasar|
01. Tidak pernah mengikuti program pendidikan|
010. Tidak pernah mengikuti program pendidikan|
02. Pendidikan Anak Usia Dini|
021. Taman Kanak-kanak (TK)|
022. Raudhatul Athfal (RA)|
03. Tidak tamat SD sederajat|
030. Tidak tamat SD sederajat|
1. Pendidikan dasar|
11. SD sederajat|
111. Sekolah Dasar (SD)|
112. Madrasah Ibtidaiyah (MI)|
113. Sekolah Luar Biasa (SLB) setingkat SD|
114. Paket A|
119. SD sederajat lainnya|
12. SMP sederajat|
121. Sekolah Menengah Pertama (SMP)|
122. Madrasah Tsanawiyah (MTs)|
123. Sekolah Luar Biasa (SLB) setingkat SMP|
124. Paket B|
129. SMP sederajat lainnya|
2. Pendidikan menengah|
20. Pendidikan menengah|
201. Sekolah Menengah Atas (SMA)|
202. Sekolah Menengah Kejuruan (SMK)|
203. Madrasah Aliyah (MA)|
204. Madrasah Aliyah Kejuruan (MAK)|
205. Sekolah Luar Biasa (SLB) setingkat SMA|
206. Paket C|
209. Pendidikan menengah lainnya|
3. Pendidikan tinggi|
31. Pendidikan vokasi|
311. Diploma I|
312. Diploma II|
313. Diploma III|
32. Pendidikan sarjana dan pendidikan vokasi setara sarjana|
321. Diploma IV|
322. Pendidikan sarjana|
33. Pendidikan profesi|
330. Pendidikan profesi|
34. Pendidikan pascasarjana|
341. Pendidikan magister|
342. Pendidikan doktor|",1,,
10320076,Tingkatan Kelas Pendidikan,K02373 Pendidikan|,Kedudukan sekelompok peserta didik yang terdaftar pada satuan kelas dalam satu satuan pendidikan.,,"1. Kelas 1|
2. Kelas 2|
3. Kelas 3|
4. Kelas 4|
5. Kelas 5|
6. Kelas 6|
7. Kelas 7|
8. Kelas 8|
9. Kelas 9|
10. Kelas 10|
11. Kelas 11|
12. Kelas 12|
13. Kelas 13|",1,,
10420018,Golongan Obat,K01238 Obat|,"Penggolongan obat yang dimaksudkan untuk peningkatan keamanan dan ketetapan penggunaan serta pengamanan distribusi yang terdiri dari obat bebas, obat bebas terbatas, obat wajib apotik, obat keras, psikotropika dan narkotika.",,"K. Obat Keras|
B. Obat Bebas|
T. Obat Bebas Terbatas|
N. Narkotika|
P. Psikotropika|",1,,
10420193,Golongan Obat-obatan,K01238 Obat|,"Pengelompokan barang farmasi berupa sediaan yang dapat disuntikkan, dioleskan, dihisapkan atau diminumkan yang dikonsumsi secara langsung oleh pasien dalam proses pengobatannya, yang disediakan oleh pemerintah dan sumber pengadaan lainnya (obat pendamping).",,"O1. Obat Keras|
O2. Obat Bebas Terbatas|
O3. Obat Bebas|",1,,
10420021,Jenis Klaim Produk Suplemen Kesehatan,K02087 Suplemen Kesehatan|,Pengategorian klaim kegunaan suplemen kesehatan.,,"1. Klaim Umum/Nutrisi|
2. Klaim Fungsional|
3. Klaim Pengurangan Risiko Penyakit|",1,,
10420023,Jenis Tenaga Kesehatan,K02174 Tenaga Kesehatan|,Penggolongan tenaga yang mengabdikan diri dalam bidang kesehatan serta memiliki pengetahuan dan/atau keterampilan melalui pendidikan di bidang kesehatan yang untuk jenis tertentu memerlukan kewenangan untuk melakukan upaya kesehatan.,,"1. Tenaga medis|
2. Tenaga psikologi klinis|
3. Tenaga keperawatan|
4. Tenaga kebidanan|
5. Tenaga kefarmasian|
6. Tenaga kesehatan masyarakat|
7. Tenaga kesehatan lingkungan|
8. Tenaga gizi|
9. Tenaga keterapian fisik|
10. Tenaga keteknisian medis|
11. Tenaga teknik biomedika|
12. Tenaga kesehatan tradisional|
13. Tenaga kesehatan lain|",1,,
10420078,Kategori Panjang Badan atau Tinggi Badan,K02057 Tengkes/Stunting|,Penggolongan kriteria seseorang berdasarkan panjang badan atau tinggi badan menurut usia dan standar pertumbuhan yang telah ditetapkan.,,"1. Sangat pendek: Z-score <- 3,0 SD|
2. Pendek: -3,0 SD <= Z-score < -2,0 SD|
3. Normal: -2,0 SD <= Z-score <= 3,0 SD|
4. Tinggi: Z-score > 3,0 SD|",1,,
10420202,Keadaan Korban Hasil Pencarian dan Pertolongan,"K00974 Korban|
K02372 Pencarian dan Pertolongan|","Keadaan orang yang ditemukan setelah mengalami penderitaan, meninggal dunia, atau hilang akibat, kecelakaan, bencana, dan/atau kondisi membahayakan jiwa manusia dan membutuhkan pertolongan dengan teknologi, sumber daya manusia yang memiliki kompetensi, prosedur kerja, dan/atau terjadi di lokasi yang sulit dijangkau.",,"01. Selamat|
02. Meninggal Dunia|
03. Hilang|",1,,
10420209,Status Kondisi Anak yang Dilahirkan,"K00091 Anak|
K01824 Melahirkan/
Kelahiran|",Keadaan tanda-tanda kehidupan atau kematian yang ditunjukkan saat anak dilahirkan.,,"1. Lahir hidup|
2. Lahir mati|",1,,
10620006,Jenis Jaminan Kesehatan yang Dimiliki,K00677 Jaminan Sosial|,Jenis perlindungan kesehatan yang dikuti peserta dengan cara membayar iuran agar memperoleh manfaat pemeliharaan kesehatan dan perlindungan dalam memenuhi kebutuhan dasar kesehatan.,,"0. Tidak memiliki|
1. Penerima bantuan iuran JKN|
2. JKN mandiri|
4. JKN pemberi kerja|
8. Jaminan kesehatan lainnya|",1,,
10620071,Status Disabilitas,K00388 Disabilitas|,"Kategori yang menggambarkan kondisi seseorang secara fisik, intelektual, mental, dan/atau sensorik dalam jangka waktu lama sehingga dapat mengakibatkan kesulitan dalam berinteraksi dengan lingkungan, atau mengalami hambatan dan kesulitan untuk berpartisipasi secara penuh dan efektif dengan warga negara lainnya berdasarkan kesamaan hak.",,"PD. Orang dengan disabilitas|
PWD. Orang tanpa disabilitas|",1,,
10620027,"Tingkat Kesulitan/Gangguan/
Disabilitas",K00388 Disabilitas|,Derajat atau taraf kesulitan/gangguan/disabilitas yang paling berat dialami sehingga menyebabkan keterbatasan dalam kegiatan/aktivitas sehari-hari.,,"1. Ya, sama sekali tidak bisa|
2. Ya, banyak kesulitan dan membutuhkan bantuan|
3. Ya, sedikit kesulitan tapi tidak membutuhkan bantuan|
4. Tidak mengalami kesulitan sama sekali|",1,,
10720069,Jenis Atap Terluas,K00171 Atap|,Jenis atap yang menutupi sebagian besar bagian teratas bangunan.,,"1. Beton|
2. Genteng|
3. Seng|
4. Asbes|
5. Bambu|
6. Kayu/sirap|
7. Jerami/ijuk/daun-daunan/rumbia|
8. Lainnya|",1,,
10720002,Jenis Bukti Kepemilikan/Penguasaan Lahan,"K00864 Kepemilikan Aset atau Dokumen|
K01019 Lahan|",Macam dokumen yang dapat dijadikan dasar kepemilikan dan/atau penguasaan suatu luasan lahan.,,"1. Sertifikat Hak Milik|
2. Sertifikat Hak Guna Bangunan|
3. Sertifikat Hak Guna Usaha|
4. Sertifikat Hak Pakai|
5. Sertifikat Hak Milik Atas Satuan Rumah Susun|
6. Akta (Jual Beli/Waris/Hibah/Lelang)|
7. Leter C/Girik/Petok D/Sejenisnya|
8. Tanah Garapan/Tanah Gogol Gilir|
9. Lainnya|
0. Tidak Ada Bukti Kepemilikan|",1,,
10720070,Jenis Dinding Terluas,K00385 Dinding|,"Jenis bahan yang sebagian besar digunakan atau mendominasi dinding bangunan, seperti tembok, plesteran anyaman bambu, kayu/papan/gipsum/GRC/calciboard, anyaman bambu, batang kayu, bambu, atau lainnya.",,"1. Tembok|
2. Plesteran anyaman bambu/kawat|
3. Kayu/Papan/Gipsum/GRC/
Calciboard|
4. Anyaman bambu|
5. Batang kayu|
6. Bambu|
7. Lainnya|",1,,
10720071,Jenis Kloset,K00938 Kloset|,Jenis/macam tempat buang air besar yang ditentukan berdasarkan saluran tinja hingga sampai ke tempat pembuangan/penampungan akhir.,,"1. Leher angsa|
2. Plengsengan dengan tutup|
3. Plengsengan tanpa tutup|
4. Cemplung/cubluk|",1,,
10720072,Jenis Lantai Terluas,K01056 Lantai|,"Jenis material yang paling luas menutupi lantai di suatu bangunan, seperti marmer/granit, keramik, parket/vinil/karpet, ubin/tegel/teraso, kayu/papan, semen/bata merah, bambu, tanah, dan lainnya.",,"1. Marmer/granit|
2. Keramik|
3. Parket/vinil/karpet|
4. Ubin/tegel/teraso|
5. Kayu/papan|
6. Semen/bata merah|
7. Bambu|
8. Tanah|
9. Lainnya|",1,,
10720003,Jenis Sumber Air Minum,"K02071 Sumber Air|
K00025 Air Minum|",Sumber air yang digunakan untuk minum sehari-hari anggota keluarga.,,"1. Air kemasan bermerk|
2. Air isi ulang|
3. Leding|
4. Sumur bor/pompa|
5. Sumur terlindung|
6. Sumur tak terlindung|
7. Mata air terlindung|
8. Mata air tak terlindung|
9. Air permukaan (sungai/danau/ waduk/kolam/irigasi)|
10. Air hujan|
11. Lainnya|",1,,
10720023,Jenis Tempat Buang Air Besar,K00453 Tempat Buang Air Besar|,Macam tempat pembuangan dan penampungan kotoran atau najis manusia yang ditentukan berdasarkan jenis dan tingkat privasinya.,,"1. Jamban Sendiri|
2. Jamban Bersama|
3. Jamban Umum|
4. Bukan Jamban|",1,,
10720004,Jenis Tempat Pembuangan Akhir Tinja,K02142 Tempat Pembuangan Akhir Tinja|,Jenis tempat atau sarana untuk pembuangan akhir tinja.,,"1. Tangki septik (kedap air)|
2. Instalasi pengelolaan air limbah (IPAL)|
3. Lubang tanah tanpa pembatas/tembok (tidak kedap air)|
4. Lainnya|",1,,
10720073,Kondisi Bangunan,K02346 Bangunan Gedung|,Kondisi keadaan fisik dan fungsional suatu bangunan pada suatu waktu tertentu.,,"1. Kondisi Baik|
2. Kondisi Rusak Ringan|
3. Kondisi Rusak Sedang|
4. Kondisi Rusak Berat|
5. Kondisi Kritis|
6. Kondisi Runtuh/Belum Terbangun|",1,,
10720082,Status Kelayakan Air Minum,K00025 Air Minum|,Pengategorian kelayakan kondisi air yang diminum.,,"1. Air minum layak|
2. Air minum tidak layak|",1,,
10720083,Status Penguasaan Tempat Tinggal,K02148 Tempat Tinggal|,Pengelompokan kewenangan atas bangunan yang difungsikan untuk tempat orang berdiam atau menetap.,,"1. Milik sendiri|
2. Kontrak/sewa|
3. Bebas sewa milik orang lain|
4. Bebas sewa milik orang tua/sanak/ saudara|
5. Rumah dinas|
6. Lainnya|",1,,
10820062,Jenis Bantuan Hukum,K00220 Bantuan Hukum|,Jenis layanan jasa hukum yang diberikan secara cuma-cuma oleh lembaga hukum atau organisasi kemasyarakatan kepada orang miskin yang menghadapi masalah hukum.,,"1. Bantuan hukum litigasi|
2. Bantuan hukum nonlitigasi|",1,,
10820004,Jenis Dokumen Hukum,K00401 Dokumen Hukum|,Jenis dokumen hukum yang terpublikasi pada portal jaringan dokumentasi dan informasi hukum nasional (JDIHN).,,"1. Dokumen Hukum Tingkat Pusat|
2. Dokumen Hukum Tingkat Daerah|
3. Perjanjian Kerja Sama|
4. Dokumen Tingkat Perguruan Tinggi|
5. Instrumen Internasional|
6. Dokumen Era Kolonial|
7. Monografi|
8. Artikel (Majalah Hukum/Kliping Koran)|
9. Putusan/Yurisprudensi|",1,,
10820008,Jenis Pidana Khusus,K01749 Pidana Khusus|,Jenis pidana yang diatur di luar kitab undang-undang hukum pidana dan memiliki ketentuan-ketentuan khusus acara pidana.,,"1. Korupsi|
2. Terorisme|
3. Pembalakan Liar/Illegal Logging|
4. Narkotika|
5. Perdagangan Manusia/Human Trafficking|
6. Pencucian Uang/Money Laundry|
7. Genosida|",1,,
10920007,Jenis Perpustakaan,K01694 Perpustakaan|,Pengelompokan perpustakaan berdasarkan kriteria tertentu sesuai yang diatur dalam undang-undang tentang perpustakaan.,,"PN. Perpustakaan Nasional|
PU. Perpustakaan Umum|
PK. Perpustakaan Khusus|
PS. Perpustakaan Sekolah/Madrasah|
PT. Perpustakaan Perguruan Tinggi|",1,,
10920093,Jenis Rumah Ibadat/Rumah Ibadah,K01913 Rumah Ibadat/Rumah Ibadah|,Macam bangunan yang memiliki ciri-ciri tertentu yang khusus dipergunakan untuk beribadat bagi pemeluk masing-masing agama secara permanen.,,"1. Masjid|
2. Gereja Kristen|
3. Gereja Katolik|
4. Pura|
5. Vihara|
6. Kelenteng|",1,,
10920008,Jenis Tenaga Perpustakaan,K01694 Perpustakaan|,"Pengelompokan individu yang bekerja di perpustakaan dan bertanggung jawab atas berbagai tugas yang berkaitan dengan pengelolaan, layanan, dan operasional perpustakaan.",,"1. Pustakawan|
2. Tenaga Teknis Perpustakaan|",1,,
10920059,Predikat Akreditasi Perpustakaan,"K00035 Akreditasi|
K01694 Perpustakaan|","Predikat yang diberikan kepada perpustakaan berdasarkan nilai akreditasinya yang terdiri atas: 
a. nilai 91,00—100 mendapatkan predikat A| 
b. nilai 76,00—90,99 mendapatkan predikat B| 
c. nilai 60,00—75,99 mendapatkan predikat C| dan 
d. nilai kurang dari 60,00 mendapatkan predikat belum terakreditasi.",,"1. Terakreditasi|
A. Predikat A|
B. Predikat B|
C. Predikat C|
2. Predikat belum terakreditasi|",1,,
11020005,Tingkatan Parlemen,K01077 Lembaga Legislatif|,Pembagian lembaga legislatif didasarkan pada tingkat kewenangan dan kedudukan dalam pemerintahan.,,"1. Majelis Permusyarahan Rakyat (MPR)|
2. Dewan Perwakilan Rakyat (DPR)|
3. Dewan Perwakilan Daerah (DPD)|
4. Dewan Perwakilan Rakyat Daerah (DPRD)|
41. Dewan Perwakilan Rakyat Daerah (DPRD) provinsi|
42. Dewan Perwakilan Rakyat Daerah (DPRD) kabupaten/kota|",1,,
21020022,Kategori Pandangan terhadap Masa Depan,K00959 Kondisi Usaha|,Penggolongan persepsi terhadap kondisi di masa depan.,,"1. Optimis|
2. Tetap|
3. Pesimis|",1,,
21020023,Kategori Perkembangan Usaha,K00959 Kondisi Usaha|,Penggolongan perubahan kondisi pada suatu periode dibandingkan periode sebelumnya.,,"1. Meningkat|
2. Tetap|
3. Menurun|",1,,
22020004,Jenis Lapangan Usaha,K01058 Lapangan Usaha|,Penggolongan bidang kegiatan suatu usaha/pekerjaan atau tempat seseorang bekerja.,,Klasifikasi Baku Lapangan Usaha Indonesia|,1,,
23020002,Bentuk Badan Hukum,K00178 Badan Hukum|,"Suatu status pengesahan yang dimiliki oleh institusi berdasarkan akta pendirian yang dikeluarkan oleh notaris berupa akta notaris, atau berdasarkan suatu keputusan dari pejabat yang berwenang.",,"1. Perseroan (PT/NV, PT Persero, PT Tbk, PT Persero Tbk, Perseroan Daerah)|
2. Perusahaan Umum (Perum, Perumda)|
3. Yayasan| 
4. Koperasi|
5. BUM Desa|
6. Dana Pensiun|
7. Perkumpulan/Partai Politik|",1,,
23020003,Bentuk Badan Usaha,K00180 Badan Usaha|,"Suatu status bagi unit usaha berbadan hukum maupun usaha tidak berbadan hukum, yang didirikan di wilayah Negara Kesatuan Republik Indonesia dan melakukan usaha dan/atau kegiatan pada bidang tertentu.",,"1. Perseroan (PT/NV, PT Persero, PT Tbk, PT Persero Tbk, Perseroan Daerah, Perseroan Perorangan)|
2. Yayasan|
3. Koperasi|
4. Dana Pensiun|
5. Perum/Perumda|
6. BUM Desa|
7. Persekutuan Komanditer (CV)|
8. Persekutuan Firma|
9. Persekutuan Perdata (Maatschap)|
10. Kantor Perwakilan Luar Negeri|
11. Badan Usaha Luar Negeri|",1,,
23020004,Bentuk Kemitraan Usaha,"K00851 Kemitraan|
K02261 Usaha|","Bentuk kerja sama dalam keterkaitan usaha, baik langsung maupun tidak langsung, atas dasar prinsip saling memerlukan, mempercayai, memperkuat, dan menguntungkan yang melibatkan pelaku usaha mikro, kecil, dan menengah dengan usaha besar.",,"1. Inti plasma|
2. Subkontrak|
3. Waralaba|
4. Perdagangan umum|
5. Distribusi dan keagenan|
6. Bagi hasil|
7. Kerja sama operasional|
8. Usaha patungan (joint venture)|
9. Penyumberluaran (outsourcing)|
10. Bentuk kemitraan lainnya|",1,,
23020006,Jaringan Usaha,K02261 Usaha|,Jaringan usaha dari usaha/perusahaan bersangkutan.,,"1. Tunggal|
2. Kantor Pusat|
3. Cabang|
4. Perwakilan|
5. Pabrik (Manufaktur)|
6. Unit Pembantu/Penunjang|",1,,
23020007,Jenis Aset,K00159 Aset|,Macam hal/barang yang memiliki nilai tukar sebagai modal atau kekayaan.,,"1. Kas dan setara kas|
2. Piutang dan persediaan|
3. Investasi|
4. Alat transportasi|
5. Harta bergerak lainnya|
6. Harta tidak bergerak|
7. Harta tidak berwujud|",1,,
23020080,Jenis Layanan Fidusia,K02353 Fidusia|,Macam pelayanan yang berkaitan dengan pengalihan hak kepemilikan sebuah benda yang registrasi hak kepemilikannya masih berada dalam kekuasaan pemilik benda tersebut.,,"1. Pendaftaran Fidusia|
2. Perubahan Fidusia|
3. Penghapusan (Roya) Fidusia|
4. Perbaikan Fidusia|",1,,
23020016,Jenis Metode Penanaman Modal,K00622 Investasi|,Jenis penyertaan modal dalam badan usaha yang dilakukan dengan cara membeli saham atau obligasi dari badan usaha tersebut.,,"1. Penanaman modal langsung|
2. Penanaman modal tidak langsung|",1,,
23020081,Jenis Perdagangan Dalam Negeri,K01639 Perdagangan|,Macam perdagangan barang dan/atau jasa dalam wilayah negara yang tidak termasuk perdagangan luar negeri.,,"1. Dalam kabupaten/kota yang sama|
2. Antarkabupaten/kota dalam provinsi yang sama|
3. Lintas provinsi|",1,,
23020021,Jenis Sektor Institusi,K01987 Sektor Institusi|,"Macam sektor yang terlibat dalam berbagai transaksi, dapat memiliki aset dan menimbulkan kewajiban atas namanya sendiri.",,"S11. Korporasi nonfinansial|
S12. Korporasi finansial|
S13. Pemerintahan umum|
S14. Rumah tangga|
S15. Lembaga nonprofit yang melayani rumah tangga|
S1N. Tidak dikategorikan|",1,,
23020047,Skala Perusahaan,K01716 Perusahaan|,Pengategorian perusahaan berdasarkan jumlah tenaga kerja yang dimiliki.,,"1. Perusahaan mikro|
2. Perusahaan kecil|
3. Perusahaan menengah|
4. Perusahaan besar|",1,,
23020048,Skala Usaha,K02261 Usaha|,"Pengategorian usaha berdasarkan kemampuan usaha dalam mengelola usahanya yang ditinjau dari aset yang dimiliki perusahaan, jumlah karyawan, jumlah pendapatan yang diperoleh perusahaan dalam satu periode akuntansi, dan/atau kriteria lain sesuai sektor usaha.",,"1. Usaha Mikro|
2. Usaha Kecil|
3. Usaha Menengah|
4. Usaha Besar|",1,,
